id,description,format,name,size,status,url,create_time,update_time,subcategory_id,thumbnail
221,Funny cartoon video larva,,Larva Episode 20,,ASSIGNED,https://www.youtube.com/watch?v=k17Kk0yEcrg,2021-07-27 07:04:15.5967610,2021-08-26 03:00:37.5112470,1,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F26ff2dfa-7713-4546-b76d-e2c571a3e450-larva.png?alt=media&token=c93c3c68-bb2a-4be7-a0cd-409a8de7b2e6
226,This video will teach you how to start coding with javascript.,,Javascript Tutorial,,ASSIGNED,https://www.youtube.com/watch?v=W6NZfCO5SIk,2021-07-27 07:12:10.1510060,2021-08-05 08:37:34.1302680,10,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F72263069-1847-4c90-9853-e7cbe18cac85-js.png?alt=media&token=58444971-a26c-4bb7-9e2d-013e32efeb3f
1287,Making pizza at home tutorial.,,How to make pizza at home,,NOT_ASSIGNED,https://www.youtube.com/watch?v=sv3TXMSv6Lw&ab_channel=Tasty,2021-08-05 07:34:12.6647230,2021-08-05 08:37:18.5863640,15,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fcc18eb0c-9f43-4e28-b006-fa4b103d5178-pizza.jpeg?alt=media&token=bde9185d-04f7-4002-8f6c-a6f54facb392
1294,10 steps in washing your hands.,,How to wash your hands,,NOT_ASSIGNED,https://www.youtube.com/watch?v=Br4sQmiJ1jU&ab_channel=SmileandLearn-English,2021-08-05 07:52:10.8914930,2021-08-05 07:52:10.8915030,14,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F57e58844-570d-4af6-9af8-77455f3e83dd-images.jpeg?alt=media&token=06d8b0fe-38f9-49bc-b42c-18346a6a1735
1301,"LEARN ABC, PHONICS, SHAPES, NUMBERS. COLORS - Morphle Educational Videos",,"LEARN ABC, PHONICS, SHAPES",,NOT_ASSIGNED,https://www.youtube.com/watch?v=v3VLDuRpq6k&ab_channel=MorphleTV,2021-08-05 08:00:20.3965590,2021-08-05 08:00:20.3965700,12,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F0c305c1c-dd81-47b6-b88c-9b7060245273-1.png?alt=media&token=3d2fe834-30f5-4d73-866f-4e90e1d27a34
1303,Learn The Alphabet With Blippi | ABC Letter Boxes,,Learn The Alphabet With Blippi,,NOT_ASSIGNED,https://www.youtube.com/watch?v=67JzSRnyXr4&ab_channel=Blippi-EducationalVideosforKids,2021-08-05 08:03:17.3733900,2021-08-05 08:03:17.3734000,12,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F5439afb9-6c93-4c9b-9db2-708694327871-1.png?alt=media&token=8d0964de-c9e4-430e-b3e9-16c8a9a4685b
1305,What do you need to start drawing and learn art and illustration? Just paper and pencil.,,Learn How to Draw,,NOT_ASSIGNED,https://www.youtube.com/watch?v=Wz6DrQeQ5rI&ab_channel=Brad%27sArtSchool,2021-08-05 08:06:44.5155310,2021-08-05 08:06:44.5155470,11,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F6bdb000e-331b-4820-b1c7-581def0a82ce-1.png?alt=media&token=6d78bd4f-8f3f-4050-9442-f049c85bdeb2
1310,3 EASY FOOTBALL SKILLS for KIDS | Football tutorial,,3 FOOTBALL SKILLS for KIDS,,NOT_ASSIGNED,https://www.youtube.com/watch?v=-JWG43D66qI&ab_channel=Foothacker,2021-08-05 08:53:16.9132590,2021-08-05 08:53:16.9132700,7,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F4bd4e6ee-a045-4845-a80b-a500c93a372c-1.png?alt=media&token=ff1b6829-cb80-4ceb-b687-c083d975ae49
1311,How to solve rubik cube 3x3.,,Solving Rubik 3x3,,NOT_ASSIGNED,https://www.youtube.com/watch?v=7Ron6MN45LY&t=5s&ab_channel=JPerm,2021-08-05 09:53:15.6711990,2021-08-05 09:53:45.9552670,14,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fc555e6ba-f55b-4cde-9826-d675b494d874-cc.jpeg?alt=media&token=967c9133-f829-4195-bfa1-2eba8f48cfaf
1312,video for kids,,Scrambled eggs recipe by 8 year old kid,,NOT_ASSIGNED,https://www.youtube.com/watch?v=_Bp5bEqDxm4&ab_channel=S%26Srecipes,2021-08-05 13:26:22.0188620,2021-08-06 02:32:55.1019730,14,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F464ab47b-e013-40b4-ad54-24c01294583f-1.png?alt=media&token=2af67b8d-493a-437d-993b-0f9948675992
1313,History of universe in a nutshell,,History Of Universe edited,,NOT_ASSIGNED,https://www.youtube.com/watch?v=C2Ebp7IsPW4&ab_channel=BRIGHTSIDE,2021-08-05 13:28:17.2284270,2021-08-27 03:45:50.6494300,11,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Ff71d63cd-3d5d-4811-bf3f-191ae40be856-universe.jpeg?alt=media&token=baf27535-77b0-490a-87db-9a186de9de94
