id,end_frame,label,start_frame,video_id,create_time,update_time,user_id,thumbnail
222,11,Introduction,0,221,2021-07-27 07:05:36.0679140,2021-08-05 07:13:22.6000820,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fbfab0c01-3a39-4d60-b62b-acb4eaf98ab5-lava_introduction.png?alt=media&token=c2ae39eb-efa7-4bac-98b1-4e279fe6d498
223,114,Snowball Fight,11,221,2021-07-27 07:06:34.1720070,2021-08-05 07:13:13.3560510,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Ff598747d-ef43-4ff9-ac44-1a251ed880fd-Screen%20Shot%202021-08-05%20at%2014.12.56.png?alt=media&token=06f856b5-8158-4f40-b96b-6c5c4ed9542c
224,218,Lemon,118,221,2021-07-27 07:07:20.1769950,2021-08-05 07:14:30.8004780,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fee0c9ff7-96c1-4690-adc3-e61fcf5b7181-Screen%20Shot%202021-08-05%20at%2014.14.18.png?alt=media&token=6e9b6bb1-8f3d-4d82-8e6d-5e89ddb2d5ba
225,380,Robot,225,221,2021-07-27 07:09:59.0828830,2021-08-05 07:15:49.0955650,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F903e2957-bda0-4035-97ce-0ba7b5010c57-Screen%20Shot%202021-08-05%20at%2014.15.36.png?alt=media&token=e9e7bacd-cbd1-4c04-a9b4-a1468d7437ee
227,280,What is Javascript,0,226,2021-07-27 07:12:51.2551040,2021-08-05 07:23:28.7965980,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F12a221a5-13f6-483d-9dd4-a7c42e6cb7ac-Screen%20Shot%202021-08-05%20at%2014.23.17.png?alt=media&token=18cf72ef-3356-441b-80a8-e12968f672fd
228,480,Setting Up The Development Environment,283,226,2021-07-27 07:14:02.4103190,2021-08-05 07:24:17.3184790,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fffe7fa66-3144-4b79-86a2-3ce09e5e2c58-Screen%20Shot%202021-08-05%20at%2014.24.05.png?alt=media&token=5e2d9930-1a2a-4f0f-a3d8-7c44c40fc918
233,600,Larva of the Rings,500,221,2021-07-27 14:45:40.8864060,2021-08-05 07:17:49.1708280,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F30e38c27-8a78-4eaf-9de7-a66a68c48460-Screen%20Shot%202021-08-05%20at%2014.17.36.png?alt=media&token=6d4e61a9-ef1b-4511-85f7-c42dfc36c2d7
282,700,JavaScript in Browsers,480,226,2021-07-28 07:42:49.8654630,2021-08-05 07:25:57.3817100,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F278dce2d-2692-4d54-be13-afcf2c212f48-Screen%20Shot%202021-08-05%20at%2014.25.44.png?alt=media&token=0ba1d0a8-c8c3-4d4b-a982-dfc0cdfd429e
1283,774,Soap Bubbles,607,221,2021-08-05 07:20:13.5678820,2021-08-05 07:22:25.4525970,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fe1051628-b8e5-48e3-a7f8-8f9896927308-Screen%20Shot%202021-08-05%20at%2014.19.48.png?alt=media&token=2a449ab4-9f03-481b-a327-7d1f8f0365df
1284,968,Javascript in Node,827,226,2021-08-05 07:27:04.8985390,2021-08-05 07:27:04.8985520,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F9a8540e2-b35a-479c-a9ad-3b1efa120760-Screen%20Shot%202021-08-05%20at%2014.26.26.png?alt=media&token=e9c0dcef-57bb-429e-a853-91e0dbe35ec8
